Id_Inventaris	Permendagri_90	Nama_Barang_Permendagri_90	No_Kode_Barang	Nama_Sesuai Kode	Nama_Simbada / Deskripsi_Barang	No_Kode_Register	Luas_Tanah	Thn_Pengadaan	Letak	Hak_Tanah	Tgl_Sertifikat	No_Sertifikat	Penggunaan	Asal_Usul	Harga_Barang	Keterangan	Kode_SKPD	Nama_SKPD	Kode_Lokasi	Nama_Lokasi
8802644	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.26	Lain-lain (Tanah Untuk Bangunan Tempat Kerja/Jasa)	RTHP Kelurahan Suryatmajan	00001	262	2019	Wilayah Rt 42 Rw 14 Kelurahan Suryatmajan Kecamatan Danurejan Kota Yogyakarta	Hak Pakai	2019-00-00	-	RTHP Kelurahan Suryatmajan	Pembelian	804987915	-	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
8772136	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.26	Lain-lain (Tanah Untuk Bangunan Tempat Kerja/Jasa)	Tanah RTHP Kel Bumijo	00001	466	2018	Wilayah Badran RT 49 RW 11 Kel. Bumijo Kec Jetis Yk	Hak Pakai	2018-00-00	-	RTHP Kel Bumijo	Pembelian	825628379	Proses  balik nama	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
8772140	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.26	Lain-lain (Tanah Untuk Bangunan Tempat Kerja/Jasa)	Tanah RTHP Kel Brontokusuman	00001	315	2018	Karanganyar RW 18 Kel. Brontokusuman Kec Mg Yk	Hak Pakai	2018-00-00	-	RTHP Kel Brontokusuman	Pembelian	828991281	Proses  balik nama	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
8772139	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.26	Lain-lain (Tanah Untuk Bangunan Tempat Kerja/Jasa)	Tanah RTHP Kel Keparakan	00001	191	2018	Wilayah RW 08 Kel Keparakan Kec Mergangsan YK	Hak Pakai	2018-00-00	-	RTHP Kel Keparakan	Pembelian	620025563	Proses  balik nama	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
8422641	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.26	Lain-lain (Tanah Untuk Bangunan Tempat Kerja/Jasa)	Tanah RTHP Kelurahan Muja Muju	00001	329	2015	Kelurahan Muja Muju	Hak Pakai	0000-00-00	-	RTHP Kelurahan Muja Muju	Pembelian	438155000	Proses sertifikat	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
8422640	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.26	Lain-lain (Tanah Untuk Bangunan Tempat Kerja/Jasa)	Tanah RTHP Kelurahan Semaki	00001	813	2015	Kelurahan Semaki	Hak Pakai	0000-00-00	-	RTHP Kelurahan Semaki	Pembelian	2900050000	Proses sertifikat	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
8422643	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.26	Lain-lain (Tanah Untuk Bangunan Tempat Kerja/Jasa)	Tanah RTHP Kampung Mrican Kel Giwangan	00001	501	2015	Kelurahan Giwangan	Hak Pakai	0000-00-00	-	RTHP Kampung Mrican	Pembelian	625740000	Proses sertifikat	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
8422642	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.26	Lain-lain (Tanah Untuk Bangunan Tempat Kerja/Jasa)	Tanah RTHP Kampung Ponggalan Kel Giwangan	00001	318	2015	Kelurahan Giwangan	Hak Pakai	0000-00-00	-	RTHP Kampung Ponggalan	Pembelian	810059900	Proses sertifikat	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
8157911	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.26	Lain-lain (Tanah Untuk Bangunan Tempat Kerja/Jasa)	RTHP Kel Kricak	00003	630	2014	Kel Kricak	Hak Pakai	0000-00-00	-	RTHP	Pembelian	811020400	-	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
8157910	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.26	Lain-lain (Tanah Untuk Bangunan Tempat Kerja/Jasa)	RTHP Kel Sosromenduran	00002	323	2014	Kel Sosromenduran	Hak Pakai	0000-00-00	-	RTHP	Pembelian	700283700	-	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
